Variable,Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
temperature_c,7761,Linear Regression,3,0.8683033595373016,0.8674041335821414,1.998357570346595,6.569132606368228,2.563031916767372,0.8584011699342139,0.860139264256957,16.32095484687698
temperature_c,7761,Linear Regression,6,0.8683033595373016,0.8674041335821414,1.951964202910053,6.095224521391082,2.4688508503737285,0.8685889233447117,0.8695573504173807,16.008846166720257
temperature_c,7761,Linear Regression,9,0.8683033595373016,0.8674041335821414,1.848148322956163,5.785855542830777,2.4053805401288955,0.8752223074674986,0.8777120986699789,15.117474149364746
temperature_c,7761,Random Forest,3,0.9803668783405938,0.9027699722368121,1.4417315335361016,3.9240424371588456,1.980919593814662,0.9154165623492603,0.9159123425052239,11.87502264834913
temperature_c,7761,Random Forest,6,0.9803668783405938,0.9027699722368121,1.602581496919988,4.5976209451028955,2.1442063671911096,0.9008767738860936,0.901275978685953,13.50458210781357
temperature_c,7761,Random Forest,9,0.9803668783405938,0.9027699722368121,1.681760485951877,5.007116686577018,2.237658751145272,0.8920165804750826,0.8931742606170853,14.160969680494986
temperature_c,7761,Gradient Boosting,3,0.9089036658660036,0.8995254249068253,1.5669725984799263,4.419078679214945,2.1021604789394517,0.9047459674753869,0.9059087813885147,12.757419698709798
temperature_c,7761,Gradient Boosting,6,0.9089036658660036,0.8995254249068253,1.6327372911208493,4.599405011613782,2.1446223470843955,0.9008383099869874,0.9016245513912862,13.477046961323444
temperature_c,7761,Gradient Boosting,9,0.9089036658660036,0.8995254249068253,1.6876235213345059,4.961887283099081,2.2275294123982023,0.8929919972581013,0.8950857971161867,14.027391316709123
temperature_c,7761,Neural Network,3,0.9154037711114796,0.91067612965572,1.3919129246828845,3.6656049118432703,1.914576953753301,0.9209872295016187,0.923237662331554,10.970352253924323
temperature_c,7761,Neural Network,6,0.9154037711114796,0.91067612965572,1.513883345042786,4.079312152889736,2.019730712963918,0.9120513444348235,0.9123749466006719,12.581923146169935
temperature_c,7761,Neural Network,9,0.9154037711114796,0.91067612965572,1.6186797662988137,4.683772609712701,2.164202534355946,0.8989898150307178,0.901792274210789,13.58494735742766
temperature_c,7761,XGBoost,3,0.924092229712966,0.9070702319761552,1.4449626495556036,3.855938318716732,1.9636543277055492,0.9168845588218412,0.9178569579053505,11.72365674897838
temperature_c,7761,XGBoost,6,0.924092229712966,0.9070702319761552,1.5625209328538585,4.30340987494398,2.0744661662567503,0.9072198697569351,0.9079442359782595,12.913012827299559
temperature_c,7761,XGBoost,9,0.924092229712966,0.9070702319761552,1.6430569857042712,4.771111416588178,2.1842873933134754,0.8971062673496896,0.8991061385400224,13.683640446050449
temperature_c,7790,Linear Regression,3,0.8824198538673823,0.8847440154039715,1.842258656855779,5.531701518708047,2.3519569551137725,0.8822791735049428,0.8832862904766474,13.979577383354268
temperature_c,7790,Linear Regression,6,0.8824198538673823,0.8847440154039715,1.8491359235545446,5.538779163619551,2.353461103060671,0.8820942572105592,0.882867759408784,14.196241762895461
temperature_c,7790,Linear Regression,9,0.8824198538673823,0.8847440154039715,1.7549124335911466,5.173881452849951,2.2746167705461837,0.8898586154964128,0.8915674596126884,13.357517492917864
temperature_c,7790,Random Forest,3,0.9830423613020677,0.9161415787568243,1.3855763798038694,3.541794034511245,1.881965471126196,0.9246266416205143,0.9249161180105581,10.608588599580738
temperature_c,7790,Random Forest,6,0.9830423613020677,0.9161415787568243,1.4972014299577128,3.9850039250910534,1.9962474608853116,0.9151699618405347,0.9155177108578035,11.532337899842723
temperature_c,7790,Random Forest,9,0.9830423613020677,0.9161415787568243,1.558829446577533,4.292185095550456,2.0717589376060275,0.9086281328094242,0.9093472238858,12.08683583484331
temperature_c,7790,Gradient Boosting,3,0.9181696952408972,0.9138126056452652,1.4675145979930895,3.818066187121446,1.9539872535718972,0.9187472596558783,0.9192992398639891,11.213761188173727
temperature_c,7790,Gradient Boosting,6,0.9181696952408972,0.9138126056452652,1.5365662175050598,4.065813857725143,2.01638633642592,0.9134497352616219,0.9138945735758486,11.767388951389226
temperature_c,7790,Gradient Boosting,9,0.9181696952408972,0.9138126056452652,1.569097158700975,4.263404076059664,2.064801219502658,0.9092408220182955,0.9105511219914021,11.9453952874648
temperature_c,7790,Neural Network,3,0.9260578243728284,0.9233197425880121,1.3522058589763042,3.302775248757404,1.8173539140072317,0.929713230061996,0.9304146440868816,10.233710035815758
temperature_c,7790,Neural Network,6,0.9260578243728284,0.9233197425880121,1.408393195792368,3.5516826649423785,1.8845908481530889,0.9243942084723319,0.9244445703150574,10.87449729976478
temperature_c,7790,Neural Network,9,0.9260578243728284,0.9233197425880121,1.4890198045433252,3.952854496583366,1.9881786882932242,0.915851789229708,0.9166282468159256,11.348448635040208
temperature_c,7790,XGBoost,3,0.93167265315458,0.9196949036784128,1.3858787057674087,3.461844343504898,1.8606032203306804,0.9263280609164509,0.9269206395791156,10.553126771712748
temperature_c,7790,XGBoost,6,0.93167265315458,0.9196949036784128,1.46745480584169,3.779701930875894,1.9441455529038698,0.9195402902845873,0.9201994062692466,11.174803351591333
temperature_c,7790,XGBoost,9,0.93167265315458,0.9196949036784128,1.5213463683471962,4.076653551145563,2.0190724482161513,0.9132163598341998,0.9147220412121451,11.58296488545783
